NMJCounting,Muscle,Fenotype,Genotype,Maturity,Bounds0Red,Bounds1Red,Bounds2Red,CCDistRed,CCSize0Red,CCSize1Red,CCSize2Red,CCRed,FragmentationRed,Compactness0Red,Compactness1Red,MeanIntensityRed,ShapeFactor0Red,ShapeFactor1Red,ShapeFactor2Red,SkeletonLengthRed,SurfaceVolumeRatio0Red,SurfaceVolumeRatio1Red,Surface0Red,Surface1Red,Surface2Red,Surface3Red,SurfaceDil0Red,SurfaceDil1Red,Volume0Red,Volume1Red,Bounds0Gr,Bounds1Gr,Bounds2Gr,CCDistGr,CCSize0Gr,CCSize1Gr,CCSize2Gr,CCGr,Compactness0Gr,Compactness1Gr,FragmentationGr,ShapeFactor0Gr,ShapeFactor1Gr,ShapeFactor2Gr,SkeletonLengthGr,SurfaceVolumeRatio0Gr,SurfaceVolumeRatio1Gr,Surface0Gr,Surface1Gr,Surface2Gr,Surface3Gr,SurfaceDil0Gr,SurfaceDil1Gr,Volume0Gr,Volume1Gr,IoUGr,ComDist,Coverage,HausDist,NIntersection,NUnion
Degenerating,0,1,2,1,31,65,5,0,1687,1687,1687,1,0,89.005,35.858,0.504,2.332,-1.216,0.507,252,1.675,0.913,1541,931.441,2825,7398.919,2825,1541,1687,426.305,5,8,2,3.86,2,9,5.5,2,68.742,3.317,0.5,10.005,-3.057,2.174,8,7.545,1,11,19.6,83,225.15,83,11,11,2.78,0.017,8.225,0.65211527,0,11,664
Degenerating,0,1,2,1,63,31,3,9.986,4,1893,948.5,2,0.5,131.314,43.245,0.388,1.849,-0.92,0.402,636,2.087,0.995,1888,1223.205,3959,10451.09,3959,1888,1897,479.372,58,29,2,8.854,1,27,4.737,38,334.437,13.416,0.974,3.941,-0.921,0.856,210,8.533,1,180,329.665,1536,4199.692,1536,180,180,45.486,0.506,3.363,9.488664336,0,180,356
Degenerating,0,1,2,1,17,40,7,6.432,3,1190,596.5,2,0.5,51.003,25.401,0.461,3.28,-1.729,0.713,78,1.297,0.815,972,555.636,1547,4006.158,1547,972,1193,301.471,11,27,5,4.86,2,152,77,2,90.938,12.41,0.5,4.206,-1.508,0.914,76,3.773,1,154,170.377,581,1542.876,581,154,154,38.916,0.354,1.575,12.90870432,0,154,435
Degenerating,0,1,2,1,51,27,5,0,1937,1937,1937,1,0,59.641,31.748,0.656,2.705,-1.535,0.588,134,1.225,0.804,1558,847.696,2372,6146.857,2372,1558,1937,489.48,46,23,3,7.978,24,213,78.2,5,145.471,19.774,0.8,3.059,-1.044,0.665,168,3.783,1,391,443.483,1479,3917.792,1479,391,391,98.806,0.325,0.767,20.18591158,0,391,1204
Degenerating,1,1,3,1,62,88,6,0,2668,2668,2668,1,0,141.236,50.553,0.694,1.71,0.87,0,546,1.955,0.986,2503,4922,3634,4940,5217,2630,2668,674.204,49,64,4,10.528,1,69,14.348,23,264.358,18.166,0.956521739,3.22,0.973,0.003,280,5.961,1,330,1092,1035,1236,1967,330,330,83.391,0.186,4.835,12.36880825,21.679,330,1774
Degenerating,0,1,2,1,61,51,7,0,3811,3811,3811,1,0,120.006,55.314,0.519,1.729,-0.986,0.376,520,1.558,0.929,3542,1888.152,5936,15615.93,5936,3542,3811,963.04,57,46,5,10.894,1,22,4.969,32,286.668,12.61,0.969,4.107,-1.037,0.893,156,8.025,1,159,258.43,1276,3504.238,1276,159,159,40.179,0.094,2.423,4.172100847,0,159,1700
Degenerating,1,1,1,2,44,56,3,0,2770,2770,2770,1,0,87.723,48.082,0.557,1.751,-1.241,0.38,260,1.406,0.942,2608,-966.716,3894,-10503.911,3894,2608,2770,699.979,30,47,2,8.461,1,284,28.417,12,136.188,18.304,0.916666667,3.281,-1.168,0.713,162,3.789,0.994,339,-354.058,1292,-3443.792,1292,339,341,86.171,0.197,1.836,12.31051217,0,341,1715
Degenerating,1,1,3,1,23,26,6,0,851,851,851,1,0,49.031,25.353,0.646,3.051,1.537,0.002,92,1.414,0.911,655,1300,804,1233,1203,775,851,215.048,20,22,5,6.114,3,326,110.667,3,80.919,17.974,0.666666667,3.464,1.361,0.003,112,2.702,0.991,308,784,541,796,897,329,332,83.896,0.609,1.158,39.01268554,3.606,332,545
Degenerating,0,1,2,1,39,35,6,10.935,506,1005,755.5,2,0.5,70.257,34.594,0.511,2.353,-1.418,0.511,92,1.484,0.925,1398,691.855,2242,5662.982,2242,1398,1511,390.348,33,28,4,8.192,1,67,15.25,8,139.297,11.045,0.875,4.523,-1.368,0.983,60,5.418,1,122,161.779,661,1711.792,661,122,122,31.517,0.187,2.67,8.07407749,0,122,654
Degenerating,1,1,3,1,56,68,4,9.272,5,2167,728,3,0.667,130.28,45.424,0.684,1.871,0.977,0,392,1.981,0.981,2002,3834,2892,3840,4326,2143,2184,551.897,51,62,2,12.523,1,83,12.929,14,199.368,13.454,0.928571429,3.934,1.163,0.006,160,6.033,1,181,612,544,672,1092,181,181,45.739,0.125,3.06,8.287597142,15.297,181,1443
