NMJCounting,Muscle,Fenotype,Genotype,Maturity,Bounds0Red,Bounds1Red,Bounds2Red,CCDistRed,CCSize0Red,CCSize1Red,CCSize2Red,CCRed,FragmentationRed,Compactness0Red,Compactness1Red,MeanIntensityRed,ShapeFactor0Red,ShapeFactor1Red,ShapeFactor2Red,SkeletonLengthRed,SurfaceVolumeRatio0Red,SurfaceVolumeRatio1Red,Surface0Red,Surface1Red,Surface2Red,Surface3Red,SurfaceDil0Red,SurfaceDil1Red,Volume0Red,Volume1Red,Bounds0Gr,Bounds1Gr,Bounds2Gr,CCDistGr,CCSize0Gr,CCSize1Gr,CCSize2Gr,CCGr,Compactness0Gr,Compactness1Gr,FragmentationGr,ShapeFactor0Gr,ShapeFactor1Gr,ShapeFactor2Gr,SkeletonLengthGr,SurfaceVolumeRatio0Gr,SurfaceVolumeRatio1Gr,Surface0Gr,Surface1Gr,Surface2Gr,Surface3Gr,SurfaceDil0Gr,SurfaceDil1Gr,Volume0Gr,Volume1Gr,IoUGr,ComDist,Coverage,HausDist,NIntersection,NUnion
Degenerating,0,1,2,1,50,50,6,11.167,1,2231,866,3,0.667,89.312,43.626,0.551,1.991,-1.201,0.433,210,1.453,0.901,2342,1168.466,3776,9534.417,3776,2342,2598,671.161,48,48,4,11.454,1,343,38.643,14,162.608,23.259,0.929,2.772,-1.03,0.602,256,3.656,1,541,521.771,1978,5084.771,1978,541,541,139.761,0.417,2.323,20.82376658,0,541,1296
Degenerating,0,1,2,1,22,66,6,12.341,1,1409,705,2,0.5,89.292,34.906,0.491,2.422,-1.189,0.526,302,1.782,0.952,1343,911.362,2512,6496.024,2512,1343,1410,356.307,1,6,0,1.573,1,5,3,2,89.364,2.449,0.5,12.245,-3.34,2.661,12,11,1,6,12.373,66,182.248,66,6,6,1.516,0.011,5.734,0.425475784,0,6,558
Degenerating,0,1,2,1,52,135,4,0,6780,6780,6780,1,0,193.279,80.58,0.422,1.211,-0.721,0.263,1106,1.766,0.986,6683,2257.349,11975,35232.23,11975,6683,6780,1397.838,49,133,2,13.072,1,1155,112.1,20,281.058,47.35,0.95,1.705,-0.679,0.371,860,3.278,1,2242,1406.897,7350,21603.41,7350,2242,2242,462.235,1.009,1.56,33.06785193,0,2242,2221
Degenerating,0,1,2,1,36,39,7,0,1780,1780,1780,1,0,65.271,35.25,0.492,2.516,-1.404,0.547,142,1.338,0.887,1579,839.64,2381,5909.185,2381,1579,1780,459.841,33,38,6,0,701,701,701,1,123.69,26.25,0,2.681,-1.067,0.583,224,2.795,0.994,697,619.52,1959,4933.167,1959,697,701,181.095,0.836,1.269,39.38209077,0,701,839
Degenerating,1,1,3,1,31,73,7,0,2689,2689,2689,1,0,69.859,40.914,0.708,2.286,1.313,0.001,206,1.22,0.854,1882,3278,2246,3284,3280,2296,2689,679.51,26,65,4,11.273,1,2,1.438,16,278.613,4.796,0.9375,7.824,4.499,0.043,46,15,1,23,40,123,130,345,23,23,5.812,0.013,0.758,0.855322217,9.899,23,1768
Degenerating,0,1,2,1,63,43,4,12.58,1374,1831,1602.5,2,0.5,94.47,48.425,0.537,1.871,-1.126,0.407,422,1.407,0.901,2888,1415.356,4509,11880.78,4509,2888,3205,809.903,43,32,4,6.808,1,19,6.625,16,211.867,10.296,0.938,4.702,-1.216,1.022,76,7.509,1,106,169.396,796,2177.848,796,106,106,26.786,0.073,5.476,3.307309641,0,106,1456
Degenerating,1,1,3,1,73,45,6,11.178,1,2354,800,3,0.667,193.165,48.99,0.579,1.673,0.753,0,804,2.496,1,2384,5300,4144,5324,5990,2400,2400,606.48,45,38,4,10.708,1,44,5.6,15,189.595,9.165,0.933333333,5.081,1.524,0.012,86,7.536,1,84,280,299,328,633,84,84,21.227,0.066,5.818,3.500032977,23.791,84,1267
Degenerating,0,1,2,1,56,29,6,0,1533,1533,1533,1,0,87.982,36.652,0.43,2.311,-1.209,0.502,224,1.716,0.957,1467,836.549,2630,6618.055,2630,1467,1533,396.031,44,21,3,8.687,1,19,7.6,10,165.111,8.718,0.9,5.253,-1.426,1.142,50,7.105,1,76,109.593,540,1421.01,540,76,76,19.634,0.183,1.386,4.957692706,0,76,415
Degenerating,1,1,3,1,66,73,7,0,3793,3793,3793,1,0,125.668,57.232,0.672,1.677,0.911,0,522,1.609,0.952,3227,5940,4241,5958,6102,3612,3793,958.491,63,68,5,13.407,1,287,34.167,18,287.058,24.799,0.944444444,2.617,0.81,0.002,476,5.117,1,615,1986,1750,2082,3147,615,615,155.41,0.259,0.94,16.21402809,6.083,615,2372
Degenerating,0,1,2,1,33,25,5,0,1782,1782,1782,1,0,41.646,25.039,0.602,3.136,-1.942,0.682,90,0.991,0.706,1258,579.236,1766,4426.402,1766,1258,1782,460.357,28,22,3,6.013,1,224,51,5,111.939,15.969,0.8,3.509,-1.348,0.763,100,3.663,1,255,246.871,934,2400.505,934,255,255,65.876,0.258,0.156,14.30976394,0,255,987
